,title,rating,pros,cons
450,"""Collections Unit Manager""",5.0,"Professional environment, highly competitive salary with potential for bonus, invest in employees and promotes from within.","Difficult starting shift hours (5am local time), constant threat of reduction on staff, communication great at local level, not so much on a national level."
451,"""Rockville pike branch""",2.0,Good pay. Great learning experience.,"Do not work for the Rockville pike, rockville Maryland branch. Terrible and toxic atmosphere. Reason why I left."
452,"""Great company to work""",5.0,I really enjoyed working for this company,I don’t really have any cons
453,"""Global lead for forecasting, planning, and reporting.""",4.0,Citigroup is a great place to grow career in Banking. The culture is very diverse and pushes you to succeed. Citigroup leadership provides vast resources to promote within.,"As the Banking world is changing, Citigroup is not immune to the impacts. Continuous changes to the geographic locations where company chooses to grow and expand makes it volatile, at times."
454,"""My Teller Experience""",3.0,"The pay and hours are steady. If you are looking part time job with strict, predictable hours than this is the place for you.",You are almost trapped behind the teller line unable to move for large portions of time. You also have multiple cameras pointed at you at all times. If you like walking around or stretching your legs this is not the job for you.
455,"""Great place to start your career""",3.0,They teach you your job and after a few week your a pro.,They don't teach you anything else
456,"""Good company""",4.0,Good culture....Lot to opportunities,Growth is a bit slow
457,"""Good job if you’re okay with a call center feel""",4.0,Lots of paid time off,Sometimes unable to get specific days off
458,"""Smart People. -  Revolving Door""",4.0,I've worked with really great people here.  Liked so many of them,Culture is so-so.  Leadership changes have caused a constant revolving door
459,"""Fair compensation""",3.0,"International presence, average salary, good benefits",Too much focus on expense reduction via location strategy
460,"""Great Company""",4.0,Nice people and a good company,Too far. Not enough work/life supported
461,"""Has been great compared to any other company I have worked for""",4.0,Good work life balance. Team I currently work for are nice people. Overall bank in great shape,Pay could have been better
462,"""AVP""",3.0,Good company to work with.,too much politics and bureaucracy
463,"""Employee Feedback""",3.0,Excellent benefits and PTO,Major disorganization in most departments and way to many daily and even hourly changes to there program.
464,"""Pretty good job""",4.0,Interesting domain. Opportunities to challenge yourself and advance. Great coworkers and lots of diversity. Good senior leaders.,"Compensation and benefits seem a bit lower than average. Line / middle managers are hit or miss, if you get the wrong one you will be miserable. Old technology, old methods (not agile in my current role) could be frustrating to some."
465,"""Good work life balance in a bureaucratic set up""",3.0,Good work life balance. Decent pay if you could negotiate before joining.,Very bureaucratic. Pathetic bonuses. People who know little about technology are heading huge tech organizations. Too much reliance on old timers who are there in the firm for over 15 years and carry the 20th century mindset of leadership. No scope for fresh thinking.
466,"""KYC Analyst""",3.0,"Good Management
Training &amp; Support is Great","Over Promising
Pay compare to Marketplace"
467,"""Great Paying job""",3.0,"Bonuses, coworkers, pay, planned time, holiday time, and even unplanned time","Angry customers, stuck with the same schedule, always changing"
468,"""Great Culture""",5.0,"Great  culture, great people, great firm.",None that I can find.
469,"""Great place to learn and work on global scale initiatives""",3.0,Incredibly interesting and large scale work,Very expense &amp; cost reduction focused
470,"""Not Truly Citi""",2.0,Some decent people work here.,"This is not truly Citi like you expect. It is a “satellite office”, meaning none of the perks. Also, those in New York look down on you. Do not plan on being promoted here, if you want to move up, you need to apply to those positions when they open up and still interview."
471,"""Miserable company, miserable job""",1.0,None at all whatsoever. Sorry,"Businesses on the consumer side (GCB) have been extremely aggressive with cost-cutting. We lost our personal work laptops, vacation days,  ability to go on work-related travel, and are being forced to vacate our building for a much more inconvenient location due to Citi trying to consolidate staff geographically. Employee morale has absolutely been down the toilet, and employees are leaving left and right. Every conversation with my peers is about external job searching at this point, because no one can wait a day longer to quit and never look back.


Seriously, I receive a goodbye email from another colleague like every 3 days. Every team is understaffed and overworked, and can't get approval for new hires due to cost-cutting. Absolutely horrible work environment and I am dreaming of the day I quit."
